ticker,nome
GOGL35.SA,ALPHABET    
GOLL11.SA,GOL         
GOLL12.SA,GOL         
GOLL13.SA,GOL         
GOLL4.SA,GOL         
GOVE11.SA,IT NOW IGCT 
GPAR1.SA,CELGPAR     
GPAR3.SA,CELGPAR     
GPCP3.SA,GPC PART    
GPIV33.SA,GP INVEST   
GPRK34.SA,GEOPARK LTD 
GPRO34.SA,GOPRO       
GPSI34.SA,GAP         
GRLV11.SA,FII LOUVEIRA
GRND3.SA,GRENDENE    
GSFI11.SA,FII GENERAL 
GSGI34.SA,GOLDMANSACHS
GSHP3.SA,GENERALSHOPP
GTWR11.SA,FII G TOWERS
GUAR3.SA,GUARARAPES  
GUAR4.SA,GUARARAPES  
HABT11.SA,FII HABIT II
HAGA3.SA,HAGA S/A    
HAGA4.SA,HAGA S/A    
HALI34.SA,HALLIBURTON 
HAPV3.SA,HAPVIDA     
HBOR3.SA,HELBOR      
HBTS5.SA,HABITASUL   
HBTT11.SA,FII HABITAT 
HCRI11.SA,FII CRIANCA 
HCTR11.SA,FII HECTARE 
HETA3.SA,HERCULES    
HETA4.SA,HERCULES    
HFOF11.SA,FII HTOPFOF3
HFOF13.SA,FII HTOPFOF3
HGBS11.SA,FII HEDGEBS 
HGCR11.SA,FII CSHG CRI
HGCR12.SA,FII CSHG CRI
HGFF11.SA,FII CSHG FOF
HGJH11.SA,FII CSHGJHSF
HGLG11.SA,FII CSHG LOG
HGPO11.SA,FII CSHGPRIM
HGRE11.SA,FII HG REAL 
HGRU11.SA,FII CSHG URB
HGTX3.SA,CIA HERING  
HLOG11.SA,FII HEDGELOG
HMOC11.SA,FII HEDMOCA 
HOME34.SA,HOME DEPOT  
HONB34.SA,HONEYWELL   
HOND34.SA,HONDA MO    
HOOT4.SA,HOTEIS OTHON
HPDP11.SA,FII HEDGE RE
HPQB34.SA,HP COMPANY  
HSHY34.SA,HERSHEY CO  
HSML11.SA,FII HSI MALL
HSML12.SA,FII HSI MALL
HTMX11.SA,FII HOTEL MX
HUSC11.SA,FII H UNIMED
HYPE3.SA,HYPERA      
IBFF11.SA,FII FOF BREI
IBMB34.SA,IBM         
IBOV11.SA,IBOVESPA    
IDNT3.SA,IDEIASNET   
IDVL1.SA,INDUSVAL    
IDVL3.SA,INDUSVAL    
IDVL4.SA,INDUSVAL    
IDVL9.SA,INDUSVAL    
IGBR3.SA,IGB S/A     
IGTA3.SA,IGUATEMI    
INEP1.SA,INEPAR      
INEP11.SA,INEPAR      
INEP12.SA,INEPAR      
INEP3.SA,INEPAR      
INEP4.SA,INEPAR      
INGG34.SA,ING GROEP   
INTU34.SA,INTUIT INC  
IRBR3.SA,IRBBRASIL RE
IRDM11.SA,FII IRIDIUM 
ISBC34.SA,INVEST BCORP
ISUS11.SA,IT NOW ISE  
ITEC3.SA,ITAUTEC     
ITLC34.SA,INTEL       
ITSA3.SA,ITAUSA      
ITSA4.SA,ITAUSA      
ITUB3.SA,ITAUUNIBANCO
ITUB4.SA,ITAUUNIBANCO
IVVB11.SA,ISHARE SP500
JBDU1.SA,J B DUARTE  
JBDU11.SA,J B DUARTE  
JBDU12.SA,J B DUARTE  
JBDU2.SA,J B DUARTE  
JBDU3.SA,J B DUARTE  
JBDU4.SA,J B DUARTE  
JBSS3.SA,JBS         
JCPC34.SA,JC PENNEY   
JDCO34.SA,JD COM      
JFEN3.SA,JOAO FORTES 
JHSF3.SA,JHSF PART   
JNJB34.SA,JOHNSON     
JOPA3.SA,JOSAPAR     
JOPA4.SA,JOSAPAR     
JPMC34.SA,JPMORGAN    
JPPA11.SA,FII JPPMOGNO
JPPC11.SA,FII JPP CAPI
JPSA3.SA,JEREISSATI  
JRDM11.SA,FII SHOPJSUL
JSLG3.SA,JSL         
JSRE11.SA,FII JS REAL 
JSRE13.SA,FII JS REAL 
KEPL11.SA,KEPLER WEBER
KEPL3.SA,KEPLER WEBER
KFOF11.SA,FII KINEAFOF
KHCB34.SA,KRAFT HEINZ 
KINP11.SA,FII EV KINEA
KLBN11.SA,KLABIN S/A  
KLBN3.SA,KLABIN S/A  
KLBN4.SA,KLABIN S/A  
KMBB34.SA,KIMBERLY CL 
KMIC34.SA,KINDER MORGA
KMPR34.SA,KEMPER CORP 
KNCR11.SA,FII KINEA RI
KNHY11.SA,FII KINEA HY
KNIP11.SA,FII KINEA IP
KNRE11.SA,FII KII REAL
